,question,comparison_index,retrieved_result,reference_paragraph,cosine_similarity
0,Explain the Typiclust algorithm,1,"given in Alg. 1 (see more details in App. F.1). Note that,
unlike traditional active learning strategies, TypiClust relies
on self-supervised representation learning, and therefore
can be used for initial pool selection.
Algorithm 1 TypiClust initial pooling algorithm","TypiClust is composed of three steps: (1) Representation learning: learn a semantically meaningful feature space using self-supervised learning. (2) Clustering: partition the data to ensure diversity. (3) Query: select the most typical examples (i.e., dense points) from the largest uncovered clusters",0.6233622431755066
1,Explain the Typiclust algorithm,2,"by clustering the dataset and sampling the densest point
from each cluster (see Fig. 2).
In Section 4, we compare TypiClust to various AL strategies
in the low-budget regime. TypiClust consistently improves
generalization by a large margin, across different datasets","To capture the principle of max density, we define the Typicality of an example by the inverse of the average Euclidean distance to its K nearest neighbors. That is, typical points are those located in high-density areas of the feature space, and thus likely to be representative of the data distribution",0.41654881834983826
2,Explain the Typiclust algorithm,3,"we show that TypiClust outperforms other methods in the
low-budget regime, and under-performs in the high-budget
regime (see low budget results in Fig. 17 of App. G.1).
Figure 9.TypiClust achieves major accuracy gains as compared to","Algorithm 1: Given an unlabeled pool and a budget B, first learn representations, then cluster the embedding space into B clusters. For each cluster, select the example with the highest typicality. This yields B diverse and representative samples for labeling?",0.15128327906131744
3,What is the Support Vector Machine (SVM) and how does it work?,1,"2010 Mathematics Subject Classiﬁcation:62H30.
———————————————
1 Support Vector Machine
Over the last decade, support vector machines (SVMs) [2, 3, 13,14, 18] has
been revealed as very powerful and important tools for pattern c lassiﬁcation",The support-vector network implements the following idea: it maps the input vectors into some high dimensional feature space Z through some non-linear mapping chosen a priori. In this space a linear decision surface is constructed with special properties that ensure high generalization ability of the network.,0.5048344731330872
4,What is the Support Vector Machine (SVM) and how does it work?,2,"support vector machine. We also provide suﬃcient conditions under which
the solution of generalized support vector machine exist. Various e xamples
are also present to show the validity of these results.
\end{conclusion}
References
[1] Adankon, M.M., and Cheriet, M.: Model selection for the LS-SVM.","An optimal hyperplane is here defined as the linear decision function with maximal margin between the vectors of the two classes. It was observed that to construct such optimal hyperplanes one only has to take into account a small amount of the training data, the so called support vectors, which determine this margin.",0.4866325259208679
5,What is the Support Vector Machine (SVM) and how does it work?,3,"We call this problem as the Generalized Support Vector Machine (GSV M).
The GSVM is equivalent to
ﬁnd wi ∈ W : ⟨G′ (wi) , v − wi⟩ ≥ 0 for all v ∈ Rn with η > 0,
or more speciﬁcally
ﬁnd wi ∈ W : ⟨ηG′ (wi) , v − wi⟩ ≥ 0 for all v ∈ Rn. (2.5)","Using different dot-products K(u, v) one can construct different learning machines with arbitrary types of decision surfaces. The decision surface of these machines has a form â ai K(xi, x), where xi is the image of a support vector and ai is its weight. The only difference is that instead of computing dot-products directly, kernels are used.",0.3994232416152954
6,What are Convolutional Neural Networks (CNN) and their main applications?,1,"References
[1] Xu Han. Implement convolution in cnn. http://xuhan.me/2016/09/09/conv/, 2016.
[2] Fabian Tschopp, Julien NP Martel, Srinivas C Turaga, Matthew Cook, and Jan Funke. Efﬁcient convolutional","Convolutional neural networks (CNNs) constitute one such class of models. Their capacity can be controlled by varying their depth and breadth, and they also make strong and mostly correct assumptions about the nature of images (namely, stationarity of statistics and locality of pixel dependencies).",0.5657214522361755
7,What are Convolutional Neural Networks (CNN) and their main applications?,2,"CNNs mainly use small convolution ﬁlters.
3.1 Unrolling-based Convolution Algorithms
Unrolling-based convolution algorithm is the most popular GPU convolution algorithm for CNNs training. The key","We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into the 1000 different classes.",0.3625694215297699
8,What are Convolutional Neural Networks (CNN) and their main applications?,3,"• Activation after the output layer: sigmoid
C.4.2 Convolution Neural Networks
Experiments described in section 3 of the main paper involve 3 CNNs. The architecture for each neural network
is as follows:
1. Conv1:
• Kernel size: 3 x 3
• Kernels in each convolution layer: 32","To learn about thousands of objects from millions of images, we need a model with a large learning capacity. [...] CNNs have much fewer connections and parameters and so they are easier to train, while their theoretically-best performance is likely to be only slightly worse.",0.3345028758049011
9,Explain the concept of Reinforcement Learning.,1,"reward space of the learning system. In other words,
Figure 2: Architecture of lifelong reinforcement learning
system. In contrast to traditional reinforcement learning
(Figure 1), the learning algorithm resides inside the agent.
The internal environment of the agent can be thought of as a",Reinforcement learning problems involve learning what to doâhow to map situations to actionsâso as to maximize a numerical reward signal. The learner is not told which actions to take but must discover which yield the most reward by trying them. Actions may affect not only the immediate reward but also the next situation and all subsequent rewards,0.57377028465271
